epoch,train_loss_overall,train_loss_sst2,train_loss_qqp,train_loss_stsb,sst2_eval_loss,sst2_accuracy,sst2_macro_f1,sst2_precision,sst2_recall,qqp_eval_loss,qqp_accuracy,qqp_macro_f1,qqp_precision,qqp_recall,stsb_eval_loss,stsb_pearson,stsb_spearman,overall_score,time_per_epoch,trainable_params,total_params,model_name,dataset_name,setting,best_metric_so_far,patience_counter,is_new_best,lora_r,lora_alpha,lora_dropout
1,0.514224897075556,0.33342454686736656,0.46987650858923985,0.7393736357700613,0.29775397208603943,0.8738532110091743,0.873253134315736,0.8781378073770492,0.8728845668098004,0.4013353206090508,0.8099925797674994,0.7968264140128052,0.7954329332720849,0.7983756723514716,0.5871076175665602,0.866257432311826,0.8619587684579846,0.8493179637205263,3810.115348815918,298757,66661637,distilbert-base-uncased,sst2+qqp+stsb,centralized_mtl_lora,0.8493179637205263,0,True,8,16,0.1
2,0.2863521042018466,0.24066854591062556,0.4046920572562471,0.21369570943866714,0.2778082360598174,0.8944954128440367,0.8944398829449041,0.8945417789757413,0.8943756840953103,0.382774756387684,0.8195894138016324,0.8119243040841807,0.8071486303755906,0.8236182231715417,0.5973955408689824,0.8621935873664498,0.8574435510606947,0.857967798619747,3833.6850876808167,298757,66661637,distilbert-base-uncased,sst2+qqp+stsb,centralized_mtl_lora,0.857967798619747,0,True,8,16,0.1
3,0.2443471088261865,0.20661147846480957,0.3826413969787173,0.14378845103503257,0.28347212529995225,0.8944954128440367,0.8943865192206424,0.8949055330634278,0.894207291403553,0.3589661258380074,0.8319812020776651,0.8189698683201496,0.8198051635303913,0.8181733408207624,0.5956905348662366,0.8628132363969109,0.8591703956657089,0.8624894769843373,3823.1785962581635,298757,66661637,distilbert-base-uncased,sst2+qqp+stsb,centralized_mtl_lora,0.8624894769843373,0,True,8,16,0.1
4,0.2200597957496417,0.1801250201378156,0.3667368502527912,0.11331751685831833,0.29575141038406977,0.8899082568807339,0.8897946287519747,0.8903087044534412,0.8896185905531699,0.3464263868387339,0.8393767004699481,0.8301440104668262,0.8260507071637297,0.8360247905699421,0.584528090788963,0.863487894696972,0.8594070381773521,0.863577474595948,3834.6115362644196,298757,66661637,distilbert-base-uncased,sst2+qqp+stsb,centralized_mtl_lora,0.863577474595948,0,True,8,16,0.1
5,0.20184955008100203,0.15650645856459316,0.35423056174787637,0.09481162993053659,0.3688240926035426,0.8864678899082569,0.8858721733439977,0.8915411795521486,0.885440346888945,0.33564287452981745,0.8465495918872125,0.8356000523253158,0.8345937235226992,0.8366687436589766,0.5978145840320181,0.8615414657628925,0.8566536893070427,0.8640383531101458,3886.581813097,298757,66661637,distilbert-base-uncased,sst2+qqp+stsb,centralized_mtl_lora,0.8640383531101458,0,True,8,16,0.1
6,0.18806571378161493,0.13861999403317404,0.34157257412967484,0.08400457318199593,0.35438968735662374,0.8944954128440367,0.8943531394858828,0.895187842971718,0.8941230950576745,0.3356516149615906,0.8468711352955726,0.839974850219061,0.8345771202719434,0.8513192320085883,0.5891400755561412,0.8636815454699651,0.8585266959343728,0.8674902229472594,3922.821582555771,298757,66661637,distilbert-base-uncased,sst2+qqp+stsb,centralized_mtl_lora,0.8674902229472594,0,True,8,16,0.1
7,0.17763957032305902,0.1248926558590548,0.33099799032586513,0.07702806478425721,0.3517129251225428,0.8876146788990825,0.8875667710443913,0.8876081601717931,0.8875347309926749,0.31934573211669215,0.8563195646796933,0.8454041159006994,0.8458138980244445,0.8450029530898893,0.5934211548338545,0.8623010829545128,0.858175709927653,0.8680575466732862,3895.8210072517395,298757,66661637,distilbert-base-uncased,sst2+qqp+stsb,centralized_mtl_lora,0.8680575466732862,0,True,8,16,0.1
8,0.16929254340536615,0.11363635553821347,0.32302884808874405,0.071212426589141,0.37397262313487856,0.8887614678899083,0.8886547182602629,0.8891005876617387,0.8884924644270439,0.3139507686118564,0.8598812762799901,0.8516581118687164,0.8474839167372525,0.8574095204882898,0.5931314054004689,0.8624604022523522,0.8579853422318681,0.8696218721373361,3859.443966150284,298757,66661637,distilbert-base-uncased,sst2+qqp+stsb,centralized_mtl_lora,0.8696218721373361,0,True,8,16,0.1
9,0.16176531814588582,0.1027814032981543,0.31598919165040534,0.06652535948909781,0.41976441232995554,0.8818807339449541,0.8815928071875392,0.8836163307230862,0.8812726277679548,0.310265523148977,0.8619589413801633,0.8518828765129827,0.8513309214838118,0.8524514064998747,0.5969912560379251,0.8607632803130788,0.855600019542621,0.8673404417509891,3925.296261548996,298757,66661637,distilbert-base-uncased,sst2+qqp+stsb,centralized_mtl_lora,0.8696218721373361,1,False,8,16,0.1
10,0.15540543063426474,0.09372470288077207,0.3095290920689003,0.06296249695312184,0.4109590555117889,0.8795871559633027,0.8795172795854427,0.8796511291180296,0.8794413572450956,0.31287107402020214,0.8592629235716053,0.852149706240357,0.8468131428198347,0.8613076846151282,0.5933755751936993,0.8622209962324524,0.8566994437869355,0.866103433181534,3950.7456300258636,298757,66661637,distilbert-base-uncased,sst2+qqp+stsb,centralized_mtl_lora,0.8696218721373361,2,False,8,16,0.1
